//Injector,TimeWindow,AvgMax,AvgMin
101_EV,1440,13.944,2.646
102_EV,1440,12.525,2.376
103_EV,1440,23.238,4.407
104_EV,1440,9.558,1.812
105_EV,1440,9.168,1.74
106_EV,1440,17.562,3.33
107_EV,1440,16.14,3.06
108_EV,1440,22.077,4.188
109_EV,1440,22.593,4.284
110_EV,1440,25.176,4.776
113_EV,1440,34.212,6.489
114_EV,1440,25.047,4.752
115_EV,1440,40.926,7.761
116_EV,1440,12.912,2.448
118_EV,1440,42.99,8.154
119_EV,1440,23.37,4.431
120_EV,1440,16.527,3.135
201_EV,1440,10.968,2.082
202_EV,1440,9.852,1.869
203_EV,1440,18.276,3.468
204_EV,1440,7.518,1.425
205_EV,1440,7.212,1.368
206_EV,1440,13.812,2.619
207_EV,1440,12.696,2.409
208_EV,1440,17.364,3.294
209_EV,1440,17.769,3.369
210_EV,1440,19.8,3.756
213_EV,1440,26.907,5.103
214_EV,1440,19.698,3.735
215_EV,1440,32.184,6.105
216_EV,1440,10.155,1.926
218_EV,1440,33.81,6.411
219_EV,1440,18.381,3.486
220_EV,1440,12.999,2.466
301_EV,1440,28.35,5.376
302_EV,1440,25.461,4.83
303_EV,1440,47.247,8.961
304_EV,1440,19.428,3.684
305_EV,1440,18.639,3.534
306_EV,1440,35.697,6.771
307_EV,1440,32.811,6.222
308_EV,1440,44.88,8.511
309_EV,1440,45.933,8.712
310_EV,1440,51.18,9.705
313_EV,1440,69.552,13.191
314_EV,1440,50.919,9.657
315_EV,1440,83.199,15.777
316_EV,1440,26.25,4.98
318_EV,1440,87.399,16.575
319_EV,1440,47.508,9.009
320_EV,1440,33.597,6.372
//EOF,,,
