//Schedule,Time,Value,Enforce
309_WIND_1,2020.01.01 00:00,+1.4280e+002,1
309_WIND_1,2020.01.01 01:00,+1.3910e+002,1
309_WIND_1,2020.01.01 02:00,+1.4530e+002,1
309_WIND_1,2020.01.01 03:00,+1.4480e+002,1
309_WIND_1,2020.01.01 04:00,+1.3710e+002,1
309_WIND_1,2020.01.01 05:00,+9.8600e+001,1
309_WIND_1,2020.01.01 06:00,+6.2200e+001,1
309_WIND_1,2020.01.01 07:00,+4.7300e+001,1
309_WIND_1,2020.01.01 08:00,+4.8900e+001,1
309_WIND_1,2020.01.01 09:00,+3.0700e+001,1
309_WIND_1,2020.01.01 10:00,+2.7400e+001,1
309_WIND_1,2020.01.01 11:00,+6.0900e+001,1
309_WIND_1,2020.01.01 12:00,+2.0400e+001,1
309_WIND_1,2020.01.01 13:00,+1.6000e+000,1
309_WIND_1,2020.01.01 14:00,+0.0000e+000,1
309_WIND_1,2020.01.01 15:00,+2.6000e+000,1
309_WIND_1,2020.01.01 16:00,+3.7900e+001,1
309_WIND_1,2020.01.01 17:00,+4.6900e+001,1
309_WIND_1,2020.01.01 18:00,+2.4000e+001,1
309_WIND_1,2020.01.01 19:00,+2.4000e+001,1
309_WIND_1,2020.01.01 20:00,+2.7400e+001,1
309_WIND_1,2020.01.01 21:00,+6.5000e+000,1
309_WIND_1,2020.01.01 22:00,+1.3000e+000,1
309_WIND_1,2020.01.01 23:00,+1.0000e-001,1
309_WIND_1,2020.01.02 00:00,+8.0000e-001,1
309_WIND_1,2020.01.02 01:00,+2.7000e+000,1
309_WIND_1,2020.01.02 02:00,+1.1400e+001,1
309_WIND_1,2020.01.02 03:00,+1.8300e+001,1
309_WIND_1,2020.01.02 04:00,+2.3600e+001,1
309_WIND_1,2020.01.02 05:00,+2.4600e+001,1
309_WIND_1,2020.01.02 06:00,+1.0300e+001,1
309_WIND_1,2020.01.02 07:00,+5.6000e+000,1
309_WIND_1,2020.01.02 08:00,+3.7000e+000,1
309_WIND_1,2020.01.02 09:00,+8.0000e-001,1
309_WIND_1,2020.01.02 10:00,+0.0000e+000,1
309_WIND_1,2020.01.02 11:00,+0.0000e+000,1
309_WIND_1,2020.01.02 12:00,+0.0000e+000,1
309_WIND_1,2020.01.02 13:00,+0.0000e+000,1
309_WIND_1,2020.01.02 14:00,+0.0000e+000,1
309_WIND_1,2020.01.02 15:00,+0.0000e+000,1
309_WIND_1,2020.01.02 16:00,+6.0000e-001,1
309_WIND_1,2020.01.02 17:00,+1.4000e+000,1
309_WIND_1,2020.01.02 18:00,+2.4800e+001,1
309_WIND_1,2020.01.02 19:00,+2.5300e+001,1
309_WIND_1,2020.01.02 20:00,+1.3200e+001,1
309_WIND_1,2020.01.02 21:00,+1.0000e+001,1
309_WIND_1,2020.01.02 22:00,+3.5700e+001,1
309_WIND_1,2020.01.02 23:00,+5.1700e+001,1
309_WIND_1,2020.01.03 00:00,+2.6700e+001,1
309_WIND_1,2020.01.03 01:00,+8.2800e+001,1
309_WIND_1,2020.01.03 02:00,+9.8400e+001,1
309_WIND_1,2020.01.03 03:00,+1.3240e+002,1
309_WIND_1,2020.01.03 04:00,+8.0000e+001,1
