//Scenario,Injector,AvgMin,Enforce,ScaleFactor,Schedule,10p,20p,30p
0,101_EV,0,0,0.063,Evload_DA,0.021,0.042,0.063
0,102_EV,0,0,0.057,Evload_DA,0.019,0.038,0.057
0,103_EV,0,0,0.102,Evload_DA,0.034,0.068,0.102
0,104_EV,0,0,0.042,Evload_DA,0.014,0.028,0.042
0,105_EV,0,0,0.042,Evload_DA,0.014,0.028,0.042
0,106_EV,0,0,0.078,Evload_DA,0.026,0.052,0.078
0,107_EV,0,0,0.072,Evload_DA,0.024,0.048,0.072
0,108_EV,0,0,0.096,Evload_DA,0.032,0.064,0.096
0,109_EV,0,0,0.099,Evload_DA,0.033,0.066,0.099
0,110_EV,0,0,0.111,Evload_DA,0.037,0.074,0.111
0,113_EV,0,0,0.15,Evload_DA,0.05,0.1,0.15
0,114_EV,0,0,0.111,Evload_DA,0.037,0.074,0.111
0,115_EV,0,0,0.18,Evload_DA,0.06,0.12,0.18
0,116_EV,0,0,0.057,Evload_DA,0.019,0.038,0.057
0,118_EV,0,0,0.189,Evload_DA,0.063,0.126,0.189
0,119_EV,0,0,0.102,Evload_DA,0.034,0.068,0.102
0,120_EV,0,0,0.072,Evload_DA,0.024,0.048,0.072
0,201_EV,0,0,0.048,Evload_DA,0.016,0.032,0.048
0,202_EV,0,0,0.045,Evload_DA,0.015,0.03,0.045
0,203_EV,0,0,0.081,Evload_DA,0.027,0.054,0.081
0,204_EV,0,0,0.033,Evload_DA,0.011,0.022,0.033
0,205_EV,0,0,0.033,Evload_DA,0.011,0.022,0.033
0,206_EV,0,0,0.06,Evload_DA,0.02,0.04,0.06
0,207_EV,0,0,0.057,Evload_DA,0.019,0.038,0.057
0,208_EV,0,0,0.078,Evload_DA,0.026,0.052,0.078
0,209_EV,0,0,0.078,Evload_DA,0.026,0.052,0.078
0,210_EV,0,0,0.087,Evload_DA,0.029,0.058,0.087
0,213_EV,0,0,0.117,Evload_DA,0.039,0.078,0.117
0,214_EV,0,0,0.087,Evload_DA,0.029,0.058,0.087
0,215_EV,0,0,0.141,Evload_DA,0.047,0.094,0.141
0,216_EV,0,0,0.045,Evload_DA,0.015,0.03,0.045
0,218_EV,0,0,0.147,Evload_DA,0.049,0.098,0.147
0,219_EV,0,0,0.081,Evload_DA,0.027,0.054,0.081
0,220_EV,0,0,0.057,Evload_DA,0.019,0.038,0.057
0,301_EV,0,0,0.126,Evload_DA,0.042,0.084,0.126
0,302_EV,0,0,0.111,Evload_DA,0.037,0.074,0.111
0,303_EV,0,0,0.207,Evload_DA,0.069,0.138,0.207
0,304_EV,0,0,0.087,Evload_DA,0.029,0.058,0.087
0,305_EV,0,0,0.081,Evload_DA,0.027,0.054,0.081
0,306_EV,0,0,0.156,Evload_DA,0.052,0.104,0.156
0,307_EV,0,0,0.144,Evload_DA,0.048,0.096,0.144
0,308_EV,0,0,0.195,Evload_DA,0.065,0.13,0.195
0,309_EV,0,0,0.201,Evload_DA,0.067,0.134,0.201
0,310_EV,0,0,0.225,Evload_DA,0.075,0.15,0.225
0,313_EV,0,0,0.303,Evload_DA,0.101,0.202,0.303
0,314_EV,0,0,0.222,Evload_DA,0.074,0.148,0.222
0,315_EV,0,0,0.363,Evload_DA,0.121,0.242,0.363
0,316_EV,0,0,0.114,Evload_DA,0.038,0.076,0.114
0,318_EV,0,0,0.381,Evload_DA,0.127,0.254,0.381
0,319_EV,0,0,0.207,Evload_DA,0.069,0.138,0.207
0,320_EV,0,0,0.147,Evload_DA,0.049,0.098,0.147
Scn4HA,101_EV,0,0,0.063,Evload_RT,0.021,0.042,0.063
Scn4HA,102_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
Scn4HA,103_EV,0,0,0.102,Evload_RT,0.034,0.068,0.102
Scn4HA,104_EV,0,0,0.042,Evload_RT,0.014,0.028,0.042
Scn4HA,105_EV,0,0,0.042,Evload_RT,0.014,0.028,0.042
Scn4HA,106_EV,0,0,0.078,Evload_RT,0.026,0.052,0.078
Scn4HA,107_EV,0,0,0.072,Evload_RT,0.024,0.048,0.072
Scn4HA,108_EV,0,0,0.096,Evload_RT,0.032,0.064,0.096
Scn4HA,109_EV,0,0,0.099,Evload_RT,0.033,0.066,0.099
Scn4HA,110_EV,0,0,0.111,Evload_RT,0.037,0.074,0.111
Scn4HA,113_EV,0,0,0.15,Evload_RT,0.05,0.1,0.15
Scn4HA,114_EV,0,0,0.111,Evload_RT,0.037,0.074,0.111
Scn4HA,115_EV,0,0,0.18,Evload_RT,0.06,0.12,0.18
Scn4HA,116_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
Scn4HA,118_EV,0,0,0.189,Evload_RT,0.063,0.126,0.189
Scn4HA,119_EV,0,0,0.102,Evload_RT,0.034,0.068,0.102
Scn4HA,120_EV,0,0,0.072,Evload_RT,0.024,0.048,0.072
Scn4HA,201_EV,0,0,0.048,Evload_RT,0.016,0.032,0.048
Scn4HA,202_EV,0,0,0.045,Evload_RT,0.015,0.03,0.045
Scn4HA,203_EV,0,0,0.081,Evload_RT,0.027,0.054,0.081
Scn4HA,204_EV,0,0,0.033,Evload_RT,0.011,0.022,0.033
Scn4HA,205_EV,0,0,0.033,Evload_RT,0.011,0.022,0.033
Scn4HA,206_EV,0,0,0.06,Evload_RT,0.02,0.04,0.06
Scn4HA,207_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
Scn4HA,208_EV,0,0,0.078,Evload_RT,0.026,0.052,0.078
Scn4HA,209_EV,0,0,0.078,Evload_RT,0.026,0.052,0.078
Scn4HA,210_EV,0,0,0.087,Evload_RT,0.029,0.058,0.087
Scn4HA,213_EV,0,0,0.117,Evload_RT,0.039,0.078,0.117
Scn4HA,214_EV,0,0,0.087,Evload_RT,0.029,0.058,0.087
Scn4HA,215_EV,0,0,0.141,Evload_RT,0.047,0.094,0.141
Scn4HA,216_EV,0,0,0.045,Evload_RT,0.015,0.03,0.045
Scn4HA,218_EV,0,0,0.147,Evload_RT,0.049,0.098,0.147
Scn4HA,219_EV,0,0,0.081,Evload_RT,0.027,0.054,0.081
Scn4HA,220_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
Scn4HA,301_EV,0,0,0.126,Evload_RT,0.042,0.084,0.126
Scn4HA,302_EV,0,0,0.111,Evload_RT,0.037,0.074,0.111
Scn4HA,303_EV,0,0,0.207,Evload_RT,0.069,0.138,0.207
Scn4HA,304_EV,0,0,0.087,Evload_RT,0.029,0.058,0.087
Scn4HA,305_EV,0,0,0.081,Evload_RT,0.027,0.054,0.081
Scn4HA,306_EV,0,0,0.156,Evload_RT,0.052,0.104,0.156
Scn4HA,307_EV,0,0,0.144,Evload_RT,0.048,0.096,0.144
Scn4HA,308_EV,0,0,0.195,Evload_RT,0.065,0.13,0.195
Scn4HA,309_EV,0,0,0.201,Evload_RT,0.067,0.134,0.201
Scn4HA,310_EV,0,0,0.225,Evload_RT,0.075,0.15,0.225
Scn4HA,313_EV,0,0,0.303,Evload_RT,0.101,0.202,0.303
Scn4HA,314_EV,0,0,0.222,Evload_RT,0.074,0.148,0.222
Scn4HA,315_EV,0,0,0.363,Evload_RT,0.121,0.242,0.363
Scn4HA,316_EV,0,0,0.114,Evload_RT,0.038,0.076,0.114
Scn4HA,318_EV,0,0,0.381,Evload_RT,0.127,0.254,0.381
Scn4HA,319_EV,0,0,0.207,Evload_RT,0.069,0.138,0.207
Scn4HA,320_EV,0,0,0.147,Evload_RT,0.049,0.098,0.147
ScnHA,101_EV,0,0,0.063,Evload_RT,0.021,0.042,0.063
ScnHA,102_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
ScnHA,103_EV,0,0,0.102,Evload_RT,0.034,0.068,0.102
ScnHA,104_EV,0,0,0.042,Evload_RT,0.014,0.028,0.042
ScnHA,105_EV,0,0,0.042,Evload_RT,0.014,0.028,0.042
ScnHA,106_EV,0,0,0.078,Evload_RT,0.026,0.052,0.078
ScnHA,107_EV,0,0,0.072,Evload_RT,0.024,0.048,0.072
ScnHA,108_EV,0,0,0.096,Evload_RT,0.032,0.064,0.096
ScnHA,109_EV,0,0,0.099,Evload_RT,0.033,0.066,0.099
ScnHA,110_EV,0,0,0.111,Evload_RT,0.037,0.074,0.111
ScnHA,113_EV,0,0,0.15,Evload_RT,0.05,0.1,0.15
ScnHA,114_EV,0,0,0.111,Evload_RT,0.037,0.074,0.111
ScnHA,115_EV,0,0,0.18,Evload_RT,0.06,0.12,0.18
ScnHA,116_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
ScnHA,118_EV,0,0,0.189,Evload_RT,0.063,0.126,0.189
ScnHA,119_EV,0,0,0.102,Evload_RT,0.034,0.068,0.102
ScnHA,120_EV,0,0,0.072,Evload_RT,0.024,0.048,0.072
ScnHA,201_EV,0,0,0.048,Evload_RT,0.016,0.032,0.048
ScnHA,202_EV,0,0,0.045,Evload_RT,0.015,0.03,0.045
ScnHA,203_EV,0,0,0.081,Evload_RT,0.027,0.054,0.081
ScnHA,204_EV,0,0,0.033,Evload_RT,0.011,0.022,0.033
ScnHA,205_EV,0,0,0.033,Evload_RT,0.011,0.022,0.033
ScnHA,206_EV,0,0,0.06,Evload_RT,0.02,0.04,0.06
ScnHA,207_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
ScnHA,208_EV,0,0,0.078,Evload_RT,0.026,0.052,0.078
ScnHA,209_EV,0,0,0.078,Evload_RT,0.026,0.052,0.078
ScnHA,210_EV,0,0,0.087,Evload_RT,0.029,0.058,0.087
ScnHA,213_EV,0,0,0.117,Evload_RT,0.039,0.078,0.117
ScnHA,214_EV,0,0,0.087,Evload_RT,0.029,0.058,0.087
ScnHA,215_EV,0,0,0.141,Evload_RT,0.047,0.094,0.141
ScnHA,216_EV,0,0,0.045,Evload_RT,0.015,0.03,0.045
ScnHA,218_EV,0,0,0.147,Evload_RT,0.049,0.098,0.147
ScnHA,219_EV,0,0,0.081,Evload_RT,0.027,0.054,0.081
ScnHA,220_EV,0,0,0.057,Evload_RT,0.019,0.038,0.057
ScnHA,301_EV,0,0,0.126,Evload_RT,0.042,0.084,0.126
ScnHA,302_EV,0,0,0.111,Evload_RT,0.037,0.074,0.111
ScnHA,303_EV,0,0,0.207,Evload_RT,0.069,0.138,0.207
ScnHA,304_EV,0,0,0.087,Evload_RT,0.029,0.058,0.087
ScnHA,305_EV,0,0,0.081,Evload_RT,0.027,0.054,0.081
ScnHA,306_EV,0,0,0.156,Evload_RT,0.052,0.104,0.156
ScnHA,307_EV,0,0,0.144,Evload_RT,0.048,0.096,0.144
ScnHA,308_EV,0,0,0.195,Evload_RT,0.065,0.13,0.195
ScnHA,309_EV,0,0,0.201,Evload_RT,0.067,0.134,0.201
ScnHA,310_EV,0,0,0.225,Evload_RT,0.075,0.15,0.225
ScnHA,313_EV,0,0,0.303,Evload_RT,0.101,0.202,0.303
ScnHA,314_EV,0,0,0.222,Evload_RT,0.074,0.148,0.222
