//Injector,Name,Area,LoadFlag,Link,MaxMw,MinMw,RaiseRR,LowerRR,RampCapOnly,EnergyCost,CostAdder,RampUpCost,RampDnCost
101_CT_1,,1,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
101_CT_2,,1,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
101_STEAM_3,,1,0,0,76.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
101_STEAM_4,,1,0,0,76.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
102_CT_1,,1,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
102_CT_2,,1,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
102_STEAM_3,,1,0,0,76.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
102_STEAM_4,,1,0,0,76.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
107_CC_1,,1,0,0,355.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
113_CT_1,,1,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
113_CT_2,,1,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
113_CT_3,,1,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
113_CT_4,,1,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
115_STEAM_1,,1,0,0,12.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
115_STEAM_2,,1,0,0,12.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
115_STEAM_3,,1,0,0,155.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
116_STEAM_1,,1,0,0,155.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
118_CC_1,,1,0,0,355.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
123_STEAM_2,,1,0,0,155.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
123_STEAM_3,,1,0,0,350.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
123_CT_1,,1,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
123_CT_4,,1,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
123_CT_5,,1,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
201_CT_1,,2,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
201_CT_2,,2,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
201_STEAM_3,,2,0,0,76.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
202_CT_1,,2,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
202_CT_2,,2,0,0,20.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
202_STEAM_3,,2,0,0,76.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
202_STEAM_4,,2,0,0,76.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
207_CT_1,,2,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
207_CT_2,,2,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
213_CC_3,,2,0,0,355.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
213_CT_1,,2,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
213_CT_2,,2,0,0,55.000,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000
