//Schedule,Time,Value,Enforce
DaSpinUpArea1,2020.01.01 00:00,+2.9551e+001,1
DaSpinUpArea1,2020.01.01 01:00,+2.9572e+001,1
DaSpinUpArea1,2020.01.01 02:00,+3.0048e+001,1
DaSpinUpArea1,2020.01.01 03:00,+3.1084e+001,1
DaSpinUpArea1,2020.01.01 04:00,+3.4194e+001,1
DaSpinUpArea1,2020.01.01 05:00,+3.8604e+001,1
DaSpinUpArea1,2020.01.01 06:00,+4.0413e+001,1
DaSpinUpArea1,2020.01.01 07:00,+3.9165e+001,1
DaSpinUpArea1,2020.01.01 08:00,+3.6975e+001,1
DaSpinUpArea1,2020.01.01 09:00,+3.5526e+001,1
DaSpinUpArea1,2020.01.01 10:00,+3.4596e+001,1
DaSpinUpArea1,2020.01.01 11:00,+3.3876e+001,1
DaSpinUpArea1,2020.01.01 12:00,+3.3231e+001,1
DaSpinUpArea1,2020.01.01 13:00,+3.2819e+001,1
DaSpinUpArea1,2020.01.01 14:00,+3.2628e+001,1
DaSpinUpArea1,2020.01.01 15:00,+3.2745e+001,1
DaSpinUpArea1,2020.01.01 16:00,+3.5114e+001,1
DaSpinUpArea1,2020.01.01 17:00,+3.8403e+001,1
DaSpinUpArea1,2020.01.01 18:00,+3.7980e+001,1
DaSpinUpArea1,2020.01.01 19:00,+3.7356e+001,1
DaSpinUpArea1,2020.01.01 20:00,+3.6140e+001,1
DaSpinUpArea1,2020.01.01 21:00,+3.3527e+001,1
DaSpinUpArea1,2020.01.01 22:00,+3.0936e+001,1
DaSpinUpArea1,2020.01.01 23:00,+2.9730e+001,1
DaSpinUpArea1,2020.01.02 00:00,+2.9128e+001,1
DaSpinUpArea1,2020.01.02 01:00,+2.9054e+001,1
DaSpinUpArea1,2020.01.02 02:00,+2.9339e+001,1
DaSpinUpArea1,2020.01.02 03:00,+3.0344e+001,1
DaSpinUpArea1,2020.01.02 04:00,+3.2935e+001,1
DaSpinUpArea1,2020.01.02 05:00,+3.6637e+001,1
DaSpinUpArea1,2020.01.02 06:00,+3.8223e+001,1
DaSpinUpArea1,2020.01.02 07:00,+3.6743e+001,1
DaSpinUpArea1,2020.01.02 08:00,+3.5241e+001,1
DaSpinUpArea1,2020.01.02 09:00,+3.4511e+001,1
DaSpinUpArea1,2020.01.02 10:00,+3.3855e+001,1
DaSpinUpArea1,2020.01.02 11:00,+3.3623e+001,1
DaSpinUpArea1,2020.01.02 12:00,+3.3379e+001,1
DaSpinUpArea1,2020.01.02 13:00,+3.3051e+001,1
DaSpinUpArea1,2020.01.02 14:00,+3.2977e+001,1
DaSpinUpArea1,2020.01.02 15:00,+3.3041e+001,1
DaSpinUpArea1,2020.01.02 16:00,+3.4892e+001,1
DaSpinUpArea1,2020.01.02 17:00,+3.7959e+001,1
DaSpinUpArea1,2020.01.02 18:00,+3.7684e+001,1
DaSpinUpArea1,2020.01.02 19:00,+3.6690e+001,1
DaSpinUpArea1,2020.01.02 20:00,+3.5283e+001,1
DaSpinUpArea1,2020.01.02 21:00,+3.2840e+001,1
DaSpinUpArea1,2020.01.02 22:00,+3.0280e+001,1
DaSpinUpArea1,2020.01.02 23:00,+2.8916e+001,1
DaSpinUpArea1,2020.01.03 00:00,+2.8461e+001,1
DaSpinUpArea1,2020.01.03 01:00,+2.7985e+001,1
DaSpinUpArea1,2020.01.03 02:00,+2.8229e+001,1
DaSpinUpArea1,2020.01.03 03:00,+2.9128e+001,1
DaSpinUpArea1,2020.01.03 04:00,+3.1486e+001,1
DaSpinUpArea1,2020.01.03 05:00,+3.5283e+001,1
DaSpinUpArea1,2020.01.03 06:00,+3.6954e+001,1
DaSpinUpArea1,2020.01.03 07:00,+3.6108e+001,1
DaSpinUpArea1,2020.01.03 08:00,+3.4945e+001,1
DaSpinUpArea1,2020.01.03 09:00,+3.4479e+001,1
DaSpinUpArea1,2020.01.03 10:00,+3.4173e+001,1
DaSpinUpArea1,2020.01.03 11:00,+3.3792e+001,1
DaSpinUpArea1,2020.01.03 12:00,+3.3506e+001,1
DaSpinUpArea1,2020.01.03 13:00,+3.3305e+001,1
DaSpinUpArea1,2020.01.03 14:00,+3.3083e+001,1
DaSpinUpArea1,2020.01.03 15:00,+3.2999e+001,1
DaSpinUpArea1,2020.01.03 16:00,+3.4247e+001,1
DaSpinUpArea1,2020.01.03 17:00,+3.7028e+001,1
DaSpinUpArea1,2020.01.03 18:00,+3.6193e+001,1
DaSpinUpArea1,2020.01.03 19:00,+3.4997e+001,1
DaSpinUpArea1,2020.01.03 20:00,+3.4194e+001,1
DaSpinUpArea1,2020.01.03 21:00,+3.2565e+001,1
DaSpinUpArea1,2020.01.03 22:00,+3.0439e+001,1
DaSpinUpArea1,2020.01.03 23:00,+2.9022e+001,1
DaSpinUpArea1,2020.01.04 00:00,+2.8429e+001,1
DaSpinUpArea1,2020.01.04 01:00,+2.8028e+001,1
DaSpinUpArea1,2020.01.04 02:00,+2.8250e+001,1
DaSpinUpArea1,2020.01.04 03:00,+2.8620e+001,1
DaSpinUpArea1,2020.01.04 04:00,+2.9963e+001,1
DaSpinUpArea1,2020.01.04 05:00,+3.1877e+001,1
DaSpinUpArea1,2020.01.04 06:00,+3.3570e+001,1
DaSpinUpArea1,2020.01.04 07:00,+3.4289e+001,1
DaSpinUpArea1,2020.01.04 08:00,+3.4109e+001,1
DaSpinUpArea1,2020.01.04 09:00,+3.3675e+001,1
DaSpinUpArea1,2020.01.04 10:00,+3.3178e+001,1
DaSpinUpArea1,2020.01.04 11:00,+3.2501e+001,1
DaSpinUpArea1,2020.01.04 12:00,+3.1835e+001,1
DaSpinUpArea1,2020.01.04 13:00,+3.1158e+001,1
DaSpinUpArea1,2020.01.04 14:00,+3.1042e+001,1
DaSpinUpArea1,2020.01.04 15:00,+3.1359e+001,1
DaSpinUpArea1,2020.01.04 16:00,+3.3400e+001,1
DaSpinUpArea1,2020.01.04 17:00,+3.6203e+001,1
DaSpinUpArea1,2020.01.04 18:00,+3.5452e+001,1
DaSpinUpArea1,2020.01.04 19:00,+3.4596e+001,1
DaSpinUpArea1,2020.01.04 20:00,+3.3369e+001,1
DaSpinUpArea1,2020.01.04 21:00,+3.1666e+001,1
DaSpinUpArea1,2020.01.04 22:00,+2.9889e+001,1
DaSpinUpArea1,2020.01.04 23:00,+2.8895e+001,1
DaSpinUpArea1,2020.01.05 00:00,+2.8429e+001,1
DaSpinUpArea1,2020.01.05 01:00,+2.8250e+001,1
DaSpinUpArea1,2020.01.05 02:00,+2.8398e+001,1
DaSpinUpArea1,2020.01.05 03:00,+2.8948e+001,1
DaSpinUpArea1,2020.01.05 04:00,+2.9995e+001,1
DaSpinUpArea1,2020.01.05 05:00,+3.1909e+001,1
DaSpinUpArea1,2020.01.05 06:00,+3.3749e+001,1
DaSpinUpArea1,2020.01.05 07:00,+3.4363e+001,1
DaSpinUpArea1,2020.01.05 08:00,+3.3845e+001,1
DaSpinUpArea1,2020.01.05 09:00,+3.3242e+001,1
DaSpinUpArea1,2020.01.05 10:00,+3.2248e+001,1
DaSpinUpArea1,2020.01.05 11:00,+3.1613e+001,1
DaSpinUpArea1,2020.01.05 12:00,+3.0947e+001,1
DaSpinUpArea1,2020.01.05 13:00,+3.0460e+001,1
DaSpinUpArea1,2020.01.05 14:00,+3.0471e+001,1
DaSpinUpArea1,2020.01.05 15:00,+3.0725e+001,1
DaSpinUpArea1,2020.01.05 16:00,+3.3157e+001,1
DaSpinUpArea1,2020.01.05 17:00,+3.6595e+001,1
DaSpinUpArea1,2020.01.05 18:00,+3.6499e+001,1
DaSpinUpArea1,2020.01.05 19:00,+3.5759e+001,1
DaSpinUpArea1,2020.01.05 20:00,+3.4204e+001,1
DaSpinUpArea1,2020.01.05 21:00,+3.1814e+001,1
DaSpinUpArea1,2020.01.05 22:00,+2.9625e+001,1
DaSpinUpArea1,2020.01.05 23:00,+2.8821e+001,1
DaSpinUpArea1,2020.01.06 00:00,+2.8546e+001,1
DaSpinUpArea1,2020.01.06 01:00,+2.8588e+001,1
