//Scenario,Injector,Dispatch,Enforce,ScaleFactor,Schedule,Sequence
0,101_EV,0,0,0.063,Evload_DA,
0,102_EV,0,0,0.057,Evload_DA,
0,103_EV,0,0,0.102,Evload_DA,
0,104_EV,0,0,0.042,Evload_DA,
0,105_EV,0,0,0.042,Evload_DA,
0,106_EV,0,0,0.078,Evload_DA,
0,107_EV,0,0,0.072,Evload_DA,
0,108_EV,0,0,0.096,Evload_DA,
0,109_EV,0,0,0.099,Evload_DA,
0,110_EV,0,0,0.111,Evload_DA,
0,113_EV,0,0,0.15,Evload_DA,
0,114_EV,0,0,0.111,Evload_DA,
0,115_EV,0,0,0.18,Evload_DA,
0,116_EV,0,0,0.057,Evload_DA,
0,118_EV,0,0,0.189,Evload_DA,
0,119_EV,0,0,0.102,Evload_DA,
0,120_EV,0,0,0.072,Evload_DA,
0,201_EV,0,0,0.048,Evload_DA,
0,202_EV,0,0,0.045,Evload_DA,
0,203_EV,0,0,0.081,Evload_DA,
0,204_EV,0,0,0.033,Evload_DA,
0,205_EV,0,0,0.033,Evload_DA,
0,206_EV,0,0,0.06,Evload_DA,
0,207_EV,0,0,0.057,Evload_DA,
0,208_EV,0,0,0.078,Evload_DA,
0,209_EV,0,0,0.078,Evload_DA,
0,210_EV,0,0,0.087,Evload_DA,
0,213_EV,0,0,0.117,Evload_DA,
0,214_EV,0,0,0.087,Evload_DA,
0,215_EV,0,0,0.141,Evload_DA,
0,216_EV,0,0,0.045,Evload_DA,
0,218_EV,0,0,0.147,Evload_DA,
0,219_EV,0,0,0.081,Evload_DA,
0,220_EV,0,0,0.057,Evload_DA,
0,301_EV,0,0,0.126,Evload_DA,
0,302_EV,0,0,0.111,Evload_DA,
0,303_EV,0,0,0.207,Evload_DA,
0,304_EV,0,0,0.087,Evload_DA,
0,305_EV,0,0,0.081,Evload_DA,
0,306_EV,0,0,0.156,Evload_DA,
0,307_EV,0,0,0.144,Evload_DA,
0,308_EV,0,0,0.195,Evload_DA,
0,309_EV,0,0,0.201,Evload_DA,
0,310_EV,0,0,0.225,Evload_DA,
0,313_EV,0,0,0.303,Evload_DA,
0,314_EV,0,0,0.222,Evload_DA,
0,315_EV,0,0,0.363,Evload_DA,
0,316_EV,0,0,0.114,Evload_DA,
0,318_EV,0,0,0.381,Evload_DA,
0,319_EV,0,0,0.207,Evload_DA,
0,320_EV,0,0,0.147,Evload_DA,
ScnDA,101_EV,0,0,0.063,Evload_DA,
ScnDA,102_EV,0,0,0.057,Evload_DA,
ScnDA,103_EV,0,0,0.102,Evload_DA,
ScnDA,104_EV,0,0,0.042,Evload_DA,
ScnDA,105_EV,0,0,0.042,Evload_DA,
ScnDA,106_EV,0,0,0.078,Evload_DA,
ScnDA,107_EV,0,0,0.072,Evload_DA,
ScnDA,108_EV,0,0,0.096,Evload_DA,
ScnDA,109_EV,0,0,0.099,Evload_DA,
ScnDA,110_EV,0,0,0.111,Evload_DA,
ScnDA,113_EV,0,0,0.15,Evload_DA,
ScnDA,114_EV,0,0,0.111,Evload_DA,
ScnDA,115_EV,0,0,0.18,Evload_DA,
ScnDA,116_EV,0,0,0.057,Evload_DA,
ScnDA,118_EV,0,0,0.189,Evload_DA,
ScnDA,119_EV,0,0,0.102,Evload_DA,
ScnDA,120_EV,0,0,0.072,Evload_DA,
ScnDA,201_EV,0,0,0.048,Evload_DA,
ScnDA,202_EV,0,0,0.045,Evload_DA,
ScnDA,203_EV,0,0,0.081,Evload_DA,
ScnDA,204_EV,0,0,0.033,Evload_DA,
ScnDA,205_EV,0,0,0.033,Evload_DA,
ScnDA,206_EV,0,0,0.06,Evload_DA,
ScnDA,207_EV,0,0,0.057,Evload_DA,
ScnDA,208_EV,0,0,0.078,Evload_DA,
ScnDA,209_EV,0,0,0.078,Evload_DA,
ScnDA,210_EV,0,0,0.087,Evload_DA,
ScnDA,213_EV,0,0,0.117,Evload_DA,
ScnDA,214_EV,0,0,0.087,Evload_DA,
ScnDA,215_EV,0,0,0.141,Evload_DA,
ScnDA,216_EV,0,0,0.045,Evload_DA,
ScnDA,218_EV,0,0,0.147,Evload_DA,
ScnDA,219_EV,0,0,0.081,Evload_DA,
ScnDA,220_EV,0,0,0.057,Evload_DA,
ScnDA,301_EV,0,0,0.126,Evload_DA,
ScnDA,302_EV,0,0,0.111,Evload_DA,
ScnDA,303_EV,0,0,0.207,Evload_DA,
ScnDA,304_EV,0,0,0.087,Evload_DA,
ScnDA,305_EV,0,0,0.081,Evload_DA,
ScnDA,306_EV,0,0,0.156,Evload_DA,
ScnDA,307_EV,0,0,0.144,Evload_DA,
ScnDA,308_EV,0,0,0.195,Evload_DA,
ScnDA,309_EV,0,0,0.201,Evload_DA,
ScnDA,310_EV,0,0,0.225,Evload_DA,
ScnDA,313_EV,0,0,0.303,Evload_DA,
ScnDA,314_EV,0,0,0.222,Evload_DA,
ScnDA,315_EV,0,0,0.363,Evload_DA,
ScnDA,316_EV,0,0,0.114,Evload_DA,
ScnDA,318_EV,0,0,0.381,Evload_DA,
ScnDA,319_EV,0,0,0.207,Evload_DA,
ScnDA,320_EV,0,0,0.147,Evload_DA,
Scn4HA,101_EV,0,0,0.063,Evload_RT,
Scn4HA,102_EV,0,0,0.057,Evload_RT,
Scn4HA,103_EV,0,0,0.102,Evload_RT,
Scn4HA,104_EV,0,0,0.042,Evload_RT,
Scn4HA,105_EV,0,0,0.042,Evload_RT,
Scn4HA,106_EV,0,0,0.078,Evload_RT,
Scn4HA,107_EV,0,0,0.072,Evload_RT,
Scn4HA,108_EV,0,0,0.096,Evload_RT,
Scn4HA,109_EV,0,0,0.099,Evload_RT,
Scn4HA,110_EV,0,0,0.111,Evload_RT,
Scn4HA,113_EV,0,0,0.15,Evload_RT,
Scn4HA,114_EV,0,0,0.111,Evload_RT,
Scn4HA,115_EV,0,0,0.18,Evload_RT,
Scn4HA,116_EV,0,0,0.057,Evload_RT,
Scn4HA,118_EV,0,0,0.189,Evload_RT,
Scn4HA,119_EV,0,0,0.102,Evload_RT,
Scn4HA,120_EV,0,0,0.072,Evload_RT,
Scn4HA,201_EV,0,0,0.048,Evload_RT,
Scn4HA,202_EV,0,0,0.045,Evload_RT,
Scn4HA,203_EV,0,0,0.081,Evload_RT,
Scn4HA,204_EV,0,0,0.033,Evload_RT,
Scn4HA,205_EV,0,0,0.033,Evload_RT,
Scn4HA,206_EV,0,0,0.06,Evload_RT,
Scn4HA,207_EV,0,0,0.057,Evload_RT,
Scn4HA,208_EV,0,0,0.078,Evload_RT,
Scn4HA,209_EV,0,0,0.078,Evload_RT,
Scn4HA,210_EV,0,0,0.087,Evload_RT,
Scn4HA,213_EV,0,0,0.117,Evload_RT,
Scn4HA,214_EV,0,0,0.087,Evload_RT,
